Id. ,ESRS,Exigence de publication (DR),Description de l'exigence de publication ,Paragraphe,Related AR,Nom,Question ,Précision des informations qualitatives,Type de données,DP conditionnel ou alternatif
2-BP1-5a,ESRS 2,BP-1,Base générale d'établissement des déclarations relatives à la durabilité ,5 a,,Mode d'établissement de la déclaration relative à la durabilité ,La déclaration de durabilité est-elle établie de manière consolidée ou individuelle ?,,semi-narratif,
2-BP1-5bi,ESRS 2,BP-1,Base générale d'établissement des déclarations relatives à la durabilité ,5 b i,,La portée de consolidation de la déclaration consolidée de durabilité est identique à celle des états financiers,"Le périmètre de consolidation de la déclaration de durabilité est-il identique à celui des états financiers ? Si non, indiquez que l’entreprise n’est pas tenue de préparer une déclaration consolidée.",,narratif,Conditionnel
2-BP1-5bii,ESRS 2,BP-1,Base générale d'établissement des déclarations relatives à la durabilité ,5 b ii,,"Le cas échéant, indication des filiales incluses dans la consolidation qui sont exemptes de l'obligation d'infromation individuelle ou consolidée ne matière de durabilité","Y a-t-il des filiales exemptées de l’obligation de déclaration de durabilité (individuelle ou consolidée) ? Si oui, veuillez les lister.",,narratif,Conditionnel
2-BP1-5c,ESRS 2,BP-1,Base générale d'établissement des déclarations relatives à la durabilité ,5 c,AR 1,Mesure dans laquelle la déclaration relative à la durabilité couvre la chaîne de valeur en amont et en aval de l'entreprise ,La déclaration de durabilité couvre-t-elle la chaîne de valeur en amont et en aval ?,,narratif,
2-BP1-5d,ESRS 2,BP-1,Base générale d'établissement des déclarations relatives à la durabilité ,5 d,,"Si l'entreprise fait usage de l'option qui lui permet d'ommettre une information particulière relative à la propriété intellectuelle, au savoir-faire ou aux résultats d'innovations ","Avez-vous utilisé l’option d’omettre des informations spécifiques sur la propriété intellectuelle, le savoir-faire ou les innovations ?",,semi-narratif,
2-BP1-5e,ESRS 2,BP-1,Base générale d'établissement des déclarations relatives à la durabilité ,5 e,,Entreprises situées dans un État membre qui prévoit une exemption de publication portant sur des évolutions imminentes ou des affaires en cours de négociation,Avez-vous utilisé l’option d’omettre des informations sur des développements imminents ou des négociations en cours permise par l’État membre ?,,semi-narratif,
2-BP2-9a,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,9 a,,Ses définitions des horizons temporels à moyen ou long terme ,Quelles sont les définitions des horizons temporels à moyen ou long terme que votre entreprise utilise ?,,narratif,Conditionnel
2-BP2-9b,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,9 b,,Les raisons pour lesquelles elle applique ces définitions,Pourquoi votre entreprise applique-t-elle ces définitions spécifiques pour les horizons temporels à moyen ou long terme ?,,narratif,Conditionnel
2-BP2-10a,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,10 a,,Définition des métriques ,Comment définissez-vous les métriques qui incluent des données estimées de la chaîne de valeur ?,,narratif,Conditionnel
2-BP2-10b,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,10 b,,Description de la base d'établissement des métriques ,Pouvez-vous décrire la base d'établissement des métriques qui incluent des données de la chaîne de valeur estimées ?,,narratif,Conditionnel
2-BP2-10c,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,10 c,,Description du niveau d'exactitude qui en résulte ,Quel est le niveau d'exactitude résultant des métriques qui incluent des données de la chaîne de valeur estimées ?,,narratif,Conditionnel
2-BP2-10d,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,10 d,,Description des actions prévues pour améliorer l'exactitude à l'avenir ,Quelles actions prévoyez-vous pour améliorer l'exactitude des métriques qui incluent des données de la chaîne de valeur estimées ?,,narratif,Conditionnel
2-BP2-11a,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,11 a,,"Identification, parmi les métriques quantitatives et les montants monétaires communiqués, xeus faisant l'objet d'un niveau élevé d'incertitude de mesure ","Pouvez-vous identifier parmi les métriques quantitatives et les montants monétaires communiqués, ceux qui font l'objet d'un niveau élevé d'incertitude de mesure ?",,narratif,
2-BP2-11bi,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,11 b i,,Publication de sinformations concernant les sources d'incertitude de la mesure ,Quelles informations pouvez-vous fournir concernant les sources d'incertitude de la mesure ?,,narratif,
"2-BP2-11bii,12",ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,11 b ii  12,,"Indication des hypothèses, les approximations et les jugements que l'entité a faits pour le mesurer ","Quelles sont les hypothèses, approximations et jugements que votre entité a faits pour mesurer ces métriques ?",,narratif,
2-BP2-13a,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,13 a,,"Explication des changements intervennant dans la préparation et la présentation des informations en matière de durabilité, ainsi que les raisons ","Pouvez-vous expliquer les changements intervenus dans la préparation et la présentation des informations en matière de durabilité, ainsi que les raisons de ces changements ?",,narratif,Conditionnel
2-BP2-13b,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,13 b,,Fournir des chiffres comparatifs révisés ,Pouvez-vous fournir des chiffres comparatifs révisés pour la période précédente ?,,narratif,Conditionnel
2-BP2-13c,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,13 c,,Différence entre le chiffre déclaré au cours de la période précédente et le chiffre comparatif révisé,Quelle est la différence entre le chiffre déclaré au cours de la période précédente et le chiffre comparatif révisé ?,,narratif,Conditionnel
2-BP2-14a,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,14 a,,Nature de l'erreur importante commise lors de la période antérieure ,Pouvez-vous décrire la nature de toute erreur importante commise lors de la période antérieure ?,,narratif,Conditionnel
2-BP2-14b,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,14 b,,Divulgation des corrections pour les périodes antérieures incluses dans la déclaration de durabilité,Pouvez-vous divulguer les corrections apportées pour les périodes antérieures et incluses dans la déclaration de durabilité ?,,narratif,Conditionnel
2-BP2-14c,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,14 c,,Divulgation des raisons pour lesquelles la correction des erreurs des périodes antérieures n'est pas praticable,Quelles sont les raisons pour lesquelles la correction des erreurs des périodes antérieures n'est pas praticable ?,,narratif,Conditionnel
2-BP2-15-1,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,15,,Divulgation des autres législations ou des normes et cadres de reporting de durabilité généralement acceptés sur lesquels les informations ont été incluses dans la déclaration de durabilité,Pouvez-vous divulguer les autres législations ou normes et cadres de reporting de durabilité généralement acceptés qui ont été utilisés dans votre déclaration de durabilité ?,,narratif,Conditionnel
2-BP2-15-2,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,15,,Divulgation de la référence aux paragraphes de la norme ou du cadre appliqué,Pouvez-vous fournir les références aux paragraphes de la norme ou du cadre appliqué dans votre déclaration de durabilité ?,,narratif,Conditionnel
