Id. ,ESRS,Exigence de publication (DR),Description de l'exigence de publication ,Paragraphe,Related AR,Nom,Question ,Précision des informations quantitatives,Type de données,DP conditionnel ou alternatif
2-GOV1-21a-1,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",21 a,,Nombre de membres exécutifs ,Combien de membres exécutifs compte votre entreprise ?,,entier,
2-GOV1-21a-2,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",21 a,,Nombre de membres non-exécutifs ,Combien de membres non-exécutifs compte votre entreprise ?,,entier,
2-GOV1-21d-1,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",21 d,,"Pourcentage de membres des organes administratifs, de gestion et de surveillance","Quel est le pourcentage de femmes parmi les membres des organes administratifs, de gestion et de supervision ?",,pourcentage,
2-GOV1-21d-2,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",21 d ,,Ratio de diversité de genre du conseil d'administration,Quel est le ratio de diversité de genre au sein du conseil d'administration ?,,pourcentage,
2-GOV1-21e,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",21 e,,Pourcentage d'administrateurs indépendants ,Quel est le pourcentage de membres indépendants au sein du conseil d'administration ?,,pourcentage,
2-GOV3-29d,ESRS 2,GOV-3,Intégration des résultats en matière de durabilité dans les systèmes d'incitation,29 d,,Pourcentage de la rémunération variable dépendant des objectifs et (ou) impacts liés à la durabilité,Quel pourcentage de la rémunération variable de vos employés dépend de la performance en matière de durabilité ?,,pourcentage,
2-SBM1-40aiii-1,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 a iii  ,AR 12-13,Nombre total d'employés (effectif),Quel est le nombre total d'employés (effectif) ?,,entier,
2-SBM1-40aiii-2,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 a iii  ,AR 12-13,Nombre d'employés (effectif),,,entier,
2-SBM1-40b-1,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 b,AR 12-13,Revenu total,Quel est votre revenu total ?,,monétaire,
2-SBM1-40b-2,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 b,AR 12-13,Revenu par secteurs ESRS,Quel est votre revenu par secteurs ESRS ?,,tableau/monétaire,
2-SBM1-40di-2,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 d i  ,AR 12-13,"Revenu provenant du secteur des combustibles fossiles (charbon, pétrole et gaz)","Quel est le revenu provenant du secteur des combustibles fossiles (charbon, pétrole et gaz) ?",,monétaire,Conditionnel
2-SBM1-40di-3,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 d i,AR 12-13,Revenu provenant du charbon,Quel est votre revenu provenant du charbon ?,,monétaire,Conditionnel
2-SBM1-40di-4,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 d i,AR 12-13,Revenu provenant du pétrole,Quel est votre revenu provenant du pétrole ?,,monétaire,Conditionnel
2-SBM1-40di-5,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 d i,AR 12-13,Revenu provenant du gaz,Quel est votre revenu provenant du gaz ?,,monétaire,Conditionnel
2-SBM1-40di-6,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 d i,AR 12-13,Revenu provenant des activités alignées sur la taxonomie liées au gaz fossile,Quel est votre revenu provenant des activités économiques alignées sur la taxonomie liées au gaz fossile ?,,monétaire,Conditionnel
2-SBM1-40dii-2,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 d ii  ,AR 12-13,Revenu provenant des produits chimiques,Quel est le revenu provenant de la production de produits chimiques ?,,monétaire,Conditionnel
2-SBM1-40diii-2,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 d iii  ,AR 12-13,Revenu provenant des armes controversées,Quel est le revenu provenant des armes controversées ?,,monétaire,Conditionnel
2-SBM1-40div-2,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 d iv  ,AR 12-13,Revenu provenant de la culture et de la production de tabac,Quel est le revenu provenant de la culture et de la production de tabac ?,,monétaire,Conditionnel
2-SBM3-48d,ESRS 2,SBM-3,"Incidences, risques et opportunités importants et leur lien avec la stratégie et le modèle économique ",48 d,,"Divulgation des effets financiers actuels des risques et opportunités matériels sur la situation financière, la performance financière et les flux de trésorerie, ainsi que des risques et opportunités matériels pour lesquels il existe un risque important de modification matérielle au cours de la prochaine période de reporting annuelle des montants inscrits dans les états financiers associés",Quels sont les effets financiers actuels de ces impacts matériels ?,,narratif/monétaire,
2-SBM3-48e,ESRS 2,SBM-3,"Incidences, risques et opportunités importants et leur lien avec la stratégie et le modèle économique ",48 e,,"Divulgation des effets financiers anticipés des risques et opportunités matériels sur la situation financière, la performance financière et les flux de trésorerie à court, moyen et long terme",Quels sont les effets financiers anticipés de ces impacts matériels ?,"Des informations monétaires, par exemple: Quantifiez les effets financiers anticipés de ces risques/opportunités. ""Nous prévoyons que les nouvelles régulations environnementales entraîneront des coûts supplémentaires de conformité de 2 millions d'euros d'ici 2025.""
- Fournissez des projections de flux de trésorerie, comme ""Les investissements dans les technologies vertes devraient augmenter les revenus de 3 millions d'euros d'ici 2030.""",narratif/monétaire,
2-MDR-AR23,ESRS 2,MDR-A,Actions et ressources relatives aux questions de durabilité importantes,AR23,,"Ressources financières actuelles et futures allouées au plan d'action, ventilation par horizon temporel et ressources","Pouvez-vous fournir une ventilation des ressources financières actuelles et futures allouées à votre plan d'action, en les distinguant par horizon temporel (court terme, moyen terme, long terme) et par type de ressources (financières, humaines, matérielles) ?",,Table/monetary,Conditionnel
2-MDRA-69b-2,ESRS 2,MDR-A,Actions et ressources relatives aux questions de durabilité importantes,69 b  ,,Ressources financières actuelles allouées au plan d'action (Capex),Quelles sont les ressources financières actuelles (Capex) allouées à ce plan d'action ?,,monétaire,Conditionnel
2-MDRA-69b-3,ESRS 2,MDR-A,Actions et ressources relatives aux questions de durabilité importantes,69 b  ,,Ressources financières actuelles allouées au plan d'action (Opex),Quelles sont les ressources financières actuelles (Opex) allouées à ce plan d'action ?,,monétaire,Conditionnel
2-MDRA-69c-1,ESRS 2,MDR-A,Actions et ressources relatives aux questions de durabilité importantes,69 c,,Ressources financières futures allouées au plan d'action (Capex),Quelles sont les ressources financières futures (Capex) allouées à ce plan d'action ?,,monétaire,Conditionnel
2-MDRA-69c-2,ESRS 2,MDR-A,Actions et ressources relatives aux questions de durabilité importantes,69 c,,Ressources financières futures allouées au plan d'action (Opex),Quelles sont les ressources financières futures (Opex) allouées à ce plan d'action ?,,monétaire,Conditionnel
2-MDRT-80a,ESRS 2,MDR-T,Suivi de l'efficacité des politiques et des actions au moyen de cibles,80 a,"AR 24 - 
AR 26",Relation avec les objectifs de la politique,Quelle est la relation entre cet objectif et les objectifs de votre politique de durabilité ?,,décimal,
